ticker,cik
MSFT,0000789019
AAPL,0000320193
NVDA,0001045810
GOOGL,0001652044
AMZN,0001018724
META,0001326801
BRK-B,0001067983
AVGO,0001730168
TSM,0001046179
TSLA,0001318605
WMT,0000104169
LLY,0000059478
JPM,0000019617
V,0001403161
SPY,0000884394
MA,0001141391
NFLX,0001065280
COST,0000909832
XOM,0000034088
ORCL,0001341439
JNJ,0000200406
PG,0000080424
UNH,0000731766
HD,0000354950
SAP,0001000184
ABBV,0001551152
BAC,0000070858
KO,0000021344
NVO,0000353278
BABA,0001577552
PLTR,0001321655
RCIT,0002008670
TMUS,0001283699
ASML,0000937966
PM,0001413329
CRM,0001108524
TM,0001094517
WFC,0000072971
CVX,0000093410
CSCO,0000858877
IBM,0000051143
ABT,0000001800
MCD,0000063908
GE,0000040545
AZN,0000901832
NVS,0001114448
LIN,0001707925
MRK,0000310158
NOW,0001373715
HSBC,0001089113
T,0000732717
AXP,0000004962
SHEL,0001306965
ACN,0001467373
MS,0000895421
QQQ,0001067839
ISRG,0001035267
HDB,0001144967
VZ,0000732712
PEP,0000077476
UBER,0001543151
INTU,0000896878
GS,0000886982
FMX,0001061736
RTX,0000101829
RY,0001000275
BKNG,0001075531
DIS,0001744489
BX,0001393818
PGR,0000080661
AMD,0000002488
ADBE,0000796343
TMO,0000097745
PDD,0001737806
SPGI,0000064040
UL,0000217410
BSX,0000885725
SONY,0000313838
QCOM,0000804328
CAT,0000018230
SCHW,0000316709
AMGN,0000318154
TXN,0000097476
SYK,0000310764
TJX,0000109198
BLK,0002012383
MUFG,0000067088
DHR,0000313616
BA,0000012927
HON,0000773840
NEE,0000753308
PFE,0000078003
SNY,0001121404
C,0000831001
SPOT,0001639920
DE,0000315189
UNP,0000100885
ARM,0001973239
CMCSA,0001166691
VRTX,0000875320
TTE,0000879764
GILD,0000882095
BUD,0001668717
SHOP,0001594805
AMAT,0000006951
LOW,0000060667
PANW,0001327567
ADP,0000008670
BHP,0000811809
IBN,0001103838
RTNTF,0000887028
